Company,Chief Executive Officer,Chief Financial Officer,Chief Operating Officer,President,Director of Acquisitions,Head of Corporate Development,Director of Asset Management,Head of Investor Relations,Chairman of the Board,VP/Head of Exploration,Chief Geologist
Dominion Minerals Corporation,Pinchas Althaus,Diego E. Roca,,Pinchas Althaus,,,,,,,
Dominion Mining Limited,,,,,,,,,,,
Donnybrook Energy Inc.,,,,,,,,,,,
Doray Minerals Limited,Leigh Stanley Junk,Jon Latto,Rod Jacobs,,,,,,Julius Matthys,Mark Cossom,Mark Cossom
Dorex Minerals Inc.,Julius Galik,Peter Walton,,Julius Galik,,,,,,,
DOT Resources Ltd.,John J. Komarnicki,Donald D. McKechnie,,John J. Komarnicki,,,,,John J. Komarnicki,,
"Double Crown Resources, Inc.",Jerold S. Drew,Jerold S. Drew,,Jerold S. Drew,,,,,Allen E. Lopez,,
Doublestar Resources Ltd,,,,,,,,,,,
Doubleview Capital Corp.,Farshad Shirvani,Robert T. Hall,,Farshad Shirvani,,,,,,,Abdul Razique
Dourado Resources Limited,Clay Epstein,Elizabeth Victoria Hunt,,,,,,,Peter Christopher Wall,,
"Dowa Holdings Co., Ltd.",Masao Yamada,,,Masao Yamada,,,,,,,
"Dowa Metals & Mining Co., Ltd.",Nobuo Yamazaki,,,,,,,,,,
Dragon Mining Limited,Brett Robert Smith,Daniel K. Broughton,,Brett Robert Smith,,,,,Arthur George Dew,,Neale M. Edwards
Dragon Mountain Gold Limited,,,,,,,,,,,
Draig Resources Limited,,Oonagh Malone,,,,,,,Raymond John Shorrocks,,
Drake Resources Limited,,,,,,,,,,,
DRDGold Limited,Daniël Johannes Pretorius,Adriaan Jacobus Davel,Wilhelm Jacobus Schoeman,,,,,,Geoffrey Charles Campbell,,
Dubber Corporation Limited,,,,,,,,,Peter Pawlowitsch,,
Dukatskaya Mining and Geology Co,,,,,,,,,,,
Duketon Mining Limited,Stuart Fogarty,,,,,,,,Seamus Ian Cornelius,,
Duluth Metals Limited,Kelly J. Osborne,Marvin E. Dee,,Kelly J. Osborne,,Christopher B. Tatum,,,Christopher C. Dundas,Dean Peterson,Phillip C. Larson
Dunav Resources Limited,,,,,,,,,,,
Duncan Park Holdings Corporation,David Roy Shaddrick,Harold Joseph Doran,,David Roy Shaddrick,,,,,Eric Paul Salsberg,,
Dundee Precious Metals Inc.,Richard Allen Howes,Hume Kyle,David Rae,Richard Allen Howes,,Michael Dorfman,,,Jonathan C. Goodman,Richard Gosse,
Dunnedin Ventures Inc.,Christopher Taylor,Antonio M. Ricci,,Christopher Taylor,,,,,,R. Bob Singh,
Dunsmuir Ventures Ltd,,,,,,,,,,,
Duran Ventures Inc.,Jeffrey J. Reeder,Daniel Hamilton,,Jeffrey J. Reeder,,,,,Joseph Del Campo,,
Durango Resources Inc.,Marcy Kiesman,Veronica Liu,,Marcy Kiesman,,,,,,,
DuSolo Fertilizers Inc.,Giles Edward Baynham,Alastair Brownlow,José Eloi Guimarães Campos,Giles Edward Baynham,,,,,Scott Douglas Morrison,Paulo Amorim,
"Dutch Gold Resources, Inc.",,,,,,,,,,,
DV Resources Ltd.,Geir L. Liland,Melinda Coghill,,,,,,,,,
Dynacor Gold Mines Inc.,Jean Martineau,Léonard Teoli,,Jean Martineau,,,,,Jean R. Depatie,,Alonso Sanchez Torres
Dynamic Agri Tech Ltd.,,,,,,,,,Russell Manfield,,
Dynamic Gold Corp.,Lianyue Song,Ji Zhou,,Lianyue Song,,,,,,,
Dynamite Resources Ltd,,,,,,,,,,,
"DynaResource, Inc.",Koy Wilber Diepholz,Koy Wilber Diepholz,,Koy Wilber Diepholz,,,,,Koy Wilber Diepholz,Pedro Ignacio Teran Cruz,
Dynasty Gold Corporation,Ivy Chong,Anthony Jackson,,Ivy Chong,,,,,,Larry David Kornze,
Dynasty Metals & Mining Inc.,Keith Piggott,Sam K. Wong,,Keith Piggott,,,,,Robert Washer,,Luis Bravo
Dynasty Resources Limited,Lewis Tay,,,,,,,,Lewis Tay,,
E2 Metals Limited,Simon Andrew Peters,Melanie Jaye Leydin,,,,,,,Melanie Jaye Leydin,,
E3 Metals Corp.,Chris Doornbos,Debbie Lew,,Chris Doornbos,,,,,,,
E4 Energy Inc.,,,,,,,,,,,
Eagle Creek Gold Corp.,,,,,,,,,,,
Eagle Graphite Incorporated,Jamie Deith,Jamie Deith,,Jamie Deith,,,,,,,
Eagle Hill Exploration Corporation,David Christie,"Danny W.K. Lee, Wayne Kent Lee",,David Christie,,,,,John Graham Proust,Jean-Philippe Desrochers,
Eagle Mining Pty. Limited,,,,,,,,,,,
Eagle Mountain Gold Corp.,,,,,,,,,,,
Eagle Plains Resources Limited,Timothy J. Termuende,Glen John Diduck,,Timothy J. Termuende,,,,,,Charles C. Downie,Jarrod Brown
Earny Resources Ltd.,Naveen Varshney,Brian Moore,,Naveen Varshney,,,,,,,
Earth Star Diamonds Ltd.,,,,,,,,,,,
Earthstone Metals Group,,,,,,,,,,,
East Africa Gold Ltd. (Iamgold),,,,,,,,,,,
East Africa Metals Inc.,Andrew Lee Smith,Peter Granata,,Andrew Lee Smith,,,,,Jingbin Wang,Jeffrey Heidema,
East Africa Resources Limited,Katina Maria Ethel Law,,,,,,,,Robert Edward Kirtlan,,
East Asia Minerals Corporation,Terry Filbert,Scott Davis,,,,,,,Terry Filbert,,Frank Rocca
East China Mineral Exploration and Development Bureau,,,,,,,,,,,
East Delta Resources Corp.,Victor I.H. Sun,Victor I.H. Sun,Victor I.H. Sun,Victor I.H. Sun,,,,,Victor I.H. Sun,,
East Energy Resources Limited,Mark Basso-Brusa,Andrea Simone Betti,,,,,,,Mark Basso-Brusa,Peter Tighe,
EastCoal Inc.,Hendrik Dietrichsen,Damien Forer,,Hendrik Dietrichsen,,,,,John Conlon,,
Eastern Corp. Ltd.,Peter Barry Lansom,Donald Langdon,Gerard Ryan,,,,,,David William King,,
Eastern Goldfields Limited,,,,,,,,,Michael George Fotios,,
Eastern Iron Limited,Myles Fang,Michelle Lilley,,,,,,,Stephen Geoffrey Gemell,,
Eastern Platinum Limited,Diana Hu,Rowland Wallenius,Andrea Zhang,Diana Hu,,,,,George G. Dorin,,
"Eastern Resources, Inc.",Patrick W. M. Imeson,Eric Altman,Robert Trenaman,Robert Trenaman,,,,,Patrick W. M. Imeson,,
Eastfield Resources Limited,James William Morton,Donald D. Sharp,,James William Morton,,,,,,,
Eastmain Resources Inc.,Claude Francois Lemasson,Joseph Fazzini,,Claude Francois Lemasson,,,,,Laurence Wilson Curtis,William J. McGuinty,
Eastwest Gold Corporation,,,,,,,,,,,
EBX Group,,,,,,Roberto Costa,,,,,
Echelon Petroleum Corp.,Eric Boehnke,Jennie Choboter,,,,,,,,,
Echo Bay Mines Ltd.,,,,,,,,,,,
Echo Resources Limited,Simon Coxhell,,Rod Johns,,,,,,Barry Colin Bolitho,,
ECI Exploration and Mining Inc.,Robert John Harrington,,,Robert John Harrington,,,,,Robert John Harrington,,
Eclipse Metals Limited,,,,,,,,,Carl Popal,,Craig Hall
Eco Oro Minerals Corporation,Mark Moseley-Williams,Paul Robertson,,Mark Moseley-Williams,,,,,Anna Stylianides,,
Eco Oro Minerals Corporation,,,,,,,,,,,
eCobalt Solutions Inc.,J. Paul Farquharson,Marc Tran,,J. Paul Farquharson,,,,,,,
Ecometals Ltd.,William Gilfillan Lamarque,Andrew John Stuart Robertson,,,,,,,,,
ECR Minerals Plc,Craig William Brown,Craig William Brown,Ivor William Osborne Jones,,,,,,William John Selwood Howell,,Dennis Francisco
Ecstall Mining Corporation,,,,,,,,,,,
ECU Silver Mining Inc.,,,,,,,,,,,
Ecuador Capital Corp.,,,,,,,,,,,
Ecuador Gold and Copper Corp.,Heye Daun,Sean Choi,,Heye Daun,,,,,,Mit Tilkov,
Ecuador Gold and Copper Inc.,,,,,,,,,,,
Eden Roc Mineral Corp.,Margaret M. Kent,,,,,,,,Margaret M. Kent,,
Edenville Energy Plc,Rufus Victor Short,,Rufus Victor Short,,,,,,Jeffrey Francis Anthony Malaihollo,,
Edgeline Holdings Inc.,,,,,,,,,,,
Edgewater Exploration Ltd.,George Salamis,Edward C. Farrauto,John Thomas,George Salamis,,,,,,Gregory F. Smith,
E-Energy Ventures Inc.,Simon Tam,Simon Ma,,Simon Tam,,,,,,,
Egan Street Resources Limited,Marc Ducler,,Lindsay Franker,,,,,,Barry Sullivan,,Julie Reid
Egoli Resources Inc.,,,,,,,,,,,
Ehyou.com Ltd.,,,,,,,,,,,
"El Capitan Precious Metals, Inc.",John F. Stapleton,Stephen J. Antol,,John F. Stapleton,,,,,John F. Stapleton,,
El Niño Ventures Inc.,Harry Gordan Barr,Robert Guanzon,Trevor Richardson,Trevor Richardson,,,,,Harry Gordan Barr,,
El Tigre Silver Corporation,Ernie Elko,Lisa Dea,,,,,,,Ernie Elko,,
Eland Platinum Mines (Pty) Limited,,,,,,,,,,,
Elcora Advanced Materials Corp.,Troy Grant,Johannes van der Linde,Ian Flint,Troy Grant,,,,,,,
ELD Mining Corp.,,,,,,,,,Benoit La Salle,,
Eldorado Gold Corporation,George R. Burns,Fabiana E. Chubbs,Paul J. Skayman,George R. Burns,,Jason Cho,,,Robert R. Gilmore,Peter D. Lewis,
Electra Stone Ltd.,John Costigan,Geoff Balderson,,John Costigan,,Tyler Lowes,,,,,
Electrum Limited,,,,,,,,,,,
Elementos Limited,Chris Creagh,Duncan P. Cornish,,,,,,,Andrew C. Greig,,Jane Harvey
Elgin Mining Incorporated,Patrick G. Downey,Peter Tam,,Patrick G. Downey,,,,,,,
Elgin Mining Incorporated,,,,,,,,,,,
Elissa Resources Ltd.,Paul McKenzie,,,,,,,,,,
Elkedra Diamonds NL,,,,,,,,,,,
Elkhorn Gold Mining Corp.,Stuart Wooldridge,,,Stuart Wooldridge,,,,,,,
Ellendale Resources NL,,,,,,,,,,,
Eloro Resources Ltd.,Thomas G. Larsen,Miles Nagamatsu,,Thomas G. Larsen,,,,,Thomas G. Larsen,,
Elray Resources Inc.,Anthony Brian Goodman,Anthony Brian Goodman,,Anthony Brian Goodman,,,,,,,
Ely Gold and Minerals Inc.,C.F. Wasser III,Scott Kelly,,C.F. Wasser III,,,,,,,
Elysee Development Corp.,Stuart W. Rogers,Gordon Steblin,,Stuart W. Rogers,,,,,Guido Cloetens,,
Elysium Resources Limited,,Sarah Smith,,,,,,,,,
Emerald Resources NL,Morgan Cain Hart,,Mick Evans,,,,,,Simon Lee AO,,
Emerge Resources Corp.,Eugene Beukman,Florence Luong,,Eugene Beukman,,,,,Saeid Babaei,,
Emergent Resources Limited,,,,,,,,,Edmond Y. Yao,,
Emerging Africa Gold Inc.,,,,,,,,,,,
Emerging Market Minerals PLC,,,,,,,,,Martin William Richard Nicholls,,
Emerita Resources Corp.,Joaquín Merino-Márquez,Gregory Duras,,Joaquín Merino-Márquez,,,,,David Gower,,
Emgold Mining Corporation,David G. Watkinson,Grant T. Smith,,David G. Watkinson,,,,,Allen D. Leschert,,
Emmerson Resources Limited,Robert Trevor Bills,Trevor Verran,,,,,,,Andrew Ivor Bruce McIlwain,Steve Russell,
Emperor Mines Pty Limited,,,,,,,,,,,
Emperor Range Group Limited,Yuhan Chen,Meilan Zhang,,,,,,,Yuhan Chen,,
Empire Energy Group Limited,Bruce William McLeod,Kylie Arizabaleta,Rachel V. Ryan,,,,,,Bruce William McLeod,,
Empire Metals Corp.,Anthony John Beruschi,Vincent Teo,,Anthony John Beruschi,,,,,,,
Empire Resources Limited,David Sargeant,,,,,,,,Thomas Revy,David Ross,
Empresa Minera Unificada SA,Luis Miguel Mercado Rocabado,,,Luis Miguel Mercado Rocabado,,,,,,,
Empresa Nacional de Minera,,Roman Vera Espinoza,Iván Fortín Ruiz,,,Daniel Smith Cruzat,,,Aurora Williams Baussa,,
Emu NL,Greg Steemson,Dennis William Wilkins,,,,,,,Peter Sisley Thomas,Greg Steemson,Greg Steemson
Enami EP,,,,,,,,,,,
Encanto Potash Corporation,Stavros Daskos,Robert G. McMorran,,Stavros Daskos,,,,,Gordon B. Keep,,
enCore Energy Corp.,Dennis E. Stover,Scott Davis,,,,,,,William M. Sheriff,,Douglas H. Underhill
Encore Oil Plc,,Eugene Whyms,,,,,,Yvonne Fraser,Christine M. K. Wheeler,,
Encounter Resources Limited,William Michael Robinson,,,,,,,,Paul Ian Chapman,Peter Bewick,
Endeavour Discoveries Ltd.,,,,,,,,,,,
Endeavour Mining Corporation,Sébastien de Montessus,Vincent Benoit,Adriaan A. Roux,Sébastien de Montessus,,,,,Michael Ernest Beckett,Patrick Bouisset,
Endeavour Silver Corporation,Bradford J. Cooke,Daniel Dickson,Godfrey J. Walton,Godfrey J. Walton,,Dale Mah,,,Geoffrey Arthur Handley,Luis R. Castro Valdez,
Endomines AB,Saila Miettinen-Lähde,Börje Lindén,,,,,,,Staffan Simberg,,
"Endurance Explorations Group, Inc.",Micah James Eldred,Christine Zitman,,Micah James Eldred,,,,Keith Holloway,Micah James Eldred,,
Endurance Gold Corporation,Robert T. Boyd,Teresa Cheng,,Robert T. Boyd,,,,,,,
Energem Resources Inc.,Dimitri Panagiotis Kanakakis,Robert Gordon Rainey,Wayne Geoffrey Osborn,Dimitri Panagiotis Kanakakis,,,,,Brian M. Menell,,
Energentia Resources Inc (Mega Uranium),,,,,,,,,,,
Energia Minerals Limited,Alexander S. Burns,Stephen Ernest Hills,Graeme Collins,,,,,,Alexander S. Burns,David Andreazza,David Andreazza
Energold Drilling Corp.,Frederick W. Davidson,Steven B. Gold,,Frederick W. Davidson,,,,,James Hayward Coleman,,
EnerGulf Resources Inc.,Ernest B. Miller IV,,,Ernest B. Miller IV,,,,,Jeff Greenblum,,
Energy Fuels Inc.,Stephen P. Antony,Daniel G. Zang,Mark S. Chalmers,Mark S. Chalmers,,Curtis H. Moore,,,J. Birks Bovaird,,Mark S. Chalmers
Energy Metals Limited,Weidong Xiang,Xuekun Li,,,,,,,Yusheng Cai,Wayne Taylor,
Energy Resources of Australia Limited,Andrea Sutton,James May,Lesley Bryce,,,,,,Peter John Mansell,,
Energy Ventures Limited,Alasdair Campbell Cooke,Gregory William Fry,Gregory William Fry,,,,,,Alasdair Campbell Cooke,Alasdair Campbell Cooke,Alasdair Campbell Cooke
Enertopia Corp.,Robert G. McAllister,Baljinder Bhullar,,Robert G. McAllister,,,,,,,
Enforcer Gold Corp.,Stephen Roebuck,Rukie Liyanage,,Stephen Roebuck,,,,,,David Hladky,
Engold Mines Ltd.,David H. Brett,Dale Reimer,,David H. Brett,,,,,Rolf van Driesum,Robert B. K. Shives,
ENK Plc,Robert Gordon Matthe Gregory,Timothy Marcus Stephen Hanlon,Dean P. Stuart,,,Mike Oxley,,,,,
Ennex International plc,,,,,,,,,,,
ENRC Africa Holdings Limited,,,,,,,,,,,
Ensurance Capital Pty Ltd,Jay Richard Stephenson,"Jay Richard Stephenson, Samir Hallab",Adam Stuart Davey,Adam Stuart Davey,,,,,Brian Thomas,Brian Thomas,
Enterprise Metals Limited,Dermot Michael Ryan,Robert Samuel Middlemas,,,,,,,Allan Trench,,
Entourage Mining Ltd.,Danielle Beauchamp,Fred V. Schiemann,,Danielle Beauchamp,,,,,Fouad Mallouk,,
Entree Resources Ltd.,Stephen Victor Scott,Duane Lo,,Stephen Victor Scott,,Robert Cinits,,,Michael Howard,,
Enzumo Limited,,Wayne Longbottom,,,,,,,Niall Cairns,,
Epic Mining Corp.,,,,,,,,,,,
Epsilon Gold Mines Limited SARL,,,,,,,,,,,
Equatorial Mining Ltd (Antofagasta),,,,,,,,,,,
Equatorial Resources Limited,,,,,,,,,Ian Peter Middlemas,,
Equigold NL,,,,,,,,,,,
Equinox Minerals Limited,M Muyunda,P Mapani,Colin Thomas Johnstone,,,Carl Hallion,,,,,
Equitorial Exploration Corp.,Jatinder Singh Bal,Brijender Jassal,,Jatinder Singh Bal,,,,,,,
Equus Mining Limited,Edward Jan Leschke,,,,,,,,Mark Hamish Lochtenberg,Edward Jan Leschke,Edward Jan Leschke
Era Resources Inc.,Pieter Britz,Alexander Dann,,Pieter Britz,,,,,John W. W. Hick,Nathan Chutas,Nathan Chutas
Eramet,Christel Bories,Thomas Devedjian,,,,,,,Christel Bories,,
Erdene Resource Development Corporation,Peter C. Akerley,Kenneth W. MacDonald,Michael X. Gillis,Peter C. Akerley,,Dawson Brisco,,,J. Christopher Cowan,Michael A. MacDonald,Gendenjamtsyn Bat-Erdene
Erin Resources Limited,"Brett Anthony Mitchell, Roby Reuven Zomer",,,,,Ron Lipsky,,,Brett Anthony Mitchell,,
Erin Ventures Inc.,Tim Daniels,Blake Fallis,,Tim Daniels,,,,,,,
Eros Resources Corp.,Ronald W. Stewart,Andrew MacRitchie,,Ronald W. Stewart,,,,,,,
Escondoro Resources Ltd.,,,,,,,,,,,
ESI Exploration Syndicate Inc.,,,,,,,,,J. Trevor Eyton,,
Eskay Mining Corporation,Hugh M. Balkam,Carmelo Marrelli,,Hugh M. Balkam,,,,,,,
Esperance Minerals Limited,Zi Ying Zhang,,,,,,,,Alan Preston Beasley,,
Esperanza Resources Corporation,Greg D. Smith,Kylie Dickson,Andrew Pooler,Greg D. Smith,,,,Simon Venhuizen,,,
Estrella Gold Corporation,Jason S. Weber,Winnie Wong,,Jason S. Weber,,,,,Gregory R. Harris,,Jason S. Weber
Estrella Resources Limited,Christopher J. Daws,,,,,,,,Raymond John Shorrocks,,
Ethos Gold Corp.,Gary Richard Freeman,Scott Kelly,,Gary Richard Freeman,,Craig Roberts,,,,,
Etruscan Resources Cote d'Ivoire SARL,,,,,,,,,,,
Eurasia Gold Inc (Kazakhmys plc),,,,,,,,,,,
Eurasia Mining Plc,Christian Schaffalitzky,Michael J. de Villiers,"Christian Schaffalitzky, William J. Anderson",,,,,,Christian Schaffalitzky,William J. Anderson,Keith Byrne
"Eurasian Minerals, Inc.",David Morrell Cole,Christina Cepeliauskas,,David Morrell Cole,,,,,Michael Dempsey Winn,Eric P. Jensen,David Johnson
Eurasian Natural Resources Corporation Limited,Felix J. Vulis,Zaure Zaurbekova,,,,,,,,,
Eureka Energy Ltd (Aurora Oil and Gas),Robert Anthony Willes,Alexander James Neuling,,,,,,,Roger Christian Steinepreis,,
Eureka Mining plc,Jonathan Scott-Barrett,,,,,Ivan Hunter,,,Kevin Alfred Foo,,
"Eureka Resources, Inc.",Michael D. Sweatman,Brent Petterson,,Michael D. Sweatman,,,,,,Kristian Whitehead,
EURO Ressources S.A.,Benjamin R. Little,Line Lacroix,,,,,,,David H. Watkins,,
Euro Sun Mining Inc.,Geoffrey Scott Moore,Paul Bozoki,Les Kwasik,Geoffrey Scott Moore,,,,,Peter Tagliamonte,Randall K. Ruff,
Eurogold Limited,,,,,,,,,,,
Euromax Resources Limited,Steven L. C. Sharpe,Varshan Gokool,Patrick Forward,Steven L. C. Sharpe,,,,,Martyn Konig,,
Euro-Nevada Mining Corp. Ltd.,,,,,,,,,,,
European Cobalt Limited,Robert Andrew Jewson,,,,,,,,Tolga Kumova,,
European Goldfields Limited,,Timothy Morgan-Wynne,David C. Cather,,,,,,,,
European Lithium Limited,Steve Kesler,Melissa Chapman,,,,,,,Antony William Paul Sage,,
European Metals Holdings Limited,Keith Dudley Coughlan,,,,,,,,David Reeves,,
Eurotin Inc.,Mark Wellings,Carlos Pinglo,,Mark Wellings,,,,,John W. W. Hick,,
EuroZinc Mining Corp,,,,,,,,,,,
Events International Holding Corp,,,,,,,,,,,
Everfor Resources Plc,,,,,,,,,,,
Everton Resources Inc.,André D. Audet,Lucie Letellier,,André D. Audet,,,,,André D. Audet,Robert R. Wheatley,
Evolution Mining Limited,Jacob Klein,Lawrence Conway,Mark Le Messurier,,,,,,Jacob Klein,,Glenton J. Masterman
Evolving Gold Corporation,R. Bruce Duncan,Charles E. Jenkins,,R. Bruce Duncan,,,,,,,Jean-Philippe Paiement
Evolving Gold Corporation,,,,,,,,,,,
EVRAZ Highveld Steel and Vanadium Limited,Izaak Johannes Burger,Andrew Phillip Maralack,,,,,,,,,
Evraz Plc,Alexander V. Frolov,Nikolay Ivanov,,,,,,,Alexander G. Abramov,,
Evrim Resources Corporation,John Patrick Nicol,Mahesh Liyanage,,John Patrick Nicol,,,,,Paul van Eeden,Charles Funk,
Exalt Resources Limited,,,,,,,,,Peter Duncombe Bennetto,,
Excalibur Mining Corporation Limited,Charif el Ansari,,Ridley Ruth,,,,,,Alexander S. Bajada,,
Excel Gold Mining Inc.,Martin Harvey,Martin Harvey,,Martin Harvey,,,,,,,
Excellon Resources Inc.,Brendan T. Cahill,Rupy Dhadwar,,Brendan T. Cahill,,,,,André Yves Fortier,Benjamin Pullinger,Benjamin Pullinger
Excelsior Gold Limited,Robert Andrew Johnston,,,,,,,,David Hatch,Bradley Toms,
Excelsior Mining Corporation,Stephen Twyerould,Mark W. Distler,Roland Goodgame,Stephen Twyerould,,,,,Mark J. Morabito,,
Excelsior Mining Corporation,,,,,,,,,,,
Exco Resources Limited,,Steven Turner,,,,,,,,,
Exeter Resource Corporation,Kim Lionel Hackney,Jason Mark Attew,,,,,,,,,
ExGen Resources Inc.,Jason Riley,Jason Tong,,Jason Riley,,,,,Gerald L. Roe,,
Expedition Mining Inc.,William Galine,Jorge Avelino,,William Galine,,,,,William Galine,,
Explaurum Limited,Jeffrey John Lawton,Paul Frederiks,Gregor Partington,,,,,,Christopher Don Baker,,
Explor Resources Inc.,J.D. Christian Dupont,Rodrigue Tremblay,,J.D. Christian Dupont,,,,,,,
Exploration Aurtois Inc.,,,,,,,,,,,
Explorator Resources Inc.,,,,,,,,,Walter Thomas Segsworth,,
Exploro Minerals Corp.,,,,,,,,,,,
Exterra Resources Limited,,,,,,,,,John Maxwell Davis,John Maxwell Davis,John Maxwell Davis
Extorre Gold Mines Limited,Trevor Campbell Mulroney,Darcy Daubaras,,Trevor Campbell Mulroney,,Marina Trasolini Katusa,,,,,
Extract Resources Limited,Jonathan Leslie,Peter Edward Sydney-Smith,,,,,,,Zhiping Yu,,
Exxaro Resources Limited,Mxolisi Donald Mbuyisa Mgojo,PA Koppeschaar,,,,,,,Deenadayalen Konar,,
Ezana Mining Development,,,,,,,,,,,
Fairfield Minerals Ltd.,,,,,,,,,,,
Fairmile Goldtech Inc.,Ian R. F. MacCulloch,,,Ian R. F. MacCulloch,,,,,,,
Fairmont Resources Inc.,Michael Alexander Dehn,Greg Ball,,Michael Alexander Dehn,,,,,,,
FairStar Resources Limited,Kevin J. Robertson,,,,,,,,John-Pierre Reifler,,
Fairwest Energy Corp,,,,,,Harley Calkins,,,,,
Falco Resources Ltd.,Luc Lessard,Vincent Metcalfe,,Luc Lessard,,,,,Sean E. O. Roosen,Claude Bernier,Claude Pilote
Falcon Crest Energy,,,,,,,,,,,
Falcon Gold Corp.,Stephenson J. Wilkinson,Brian L. Crawford,,Stephenson J. Wilkinson,,,,,David G. Tafel,,
Falcon Gold Zimbabwe Limited,Ian Robert Saunders,Qubeka Nkomo,,,,,,,Ian Robert Saunders,,
Falconbridge Corp,,,,,,,,,,,
Falkirk Resources Corp.,,,,,,,,,,,
Fancamp Exploration Limited,Peter H. Smith,Debra Chapman,,Peter H. Smith,,,,,Peter H. Smith,Mike Flanagan,
Far Resources Ltd.,Keith C. Anderson Jr.,Cyrus H. Driver,,Keith C. Anderson Jr.,,John Gammack,,,,,
Far West Mining Ltd.,,,,,,,,,Robert E. Hindson,,
Farallon Mining Ltd,,,,,,,,,,,
"FBC Holding Company, Incorporated",,,,,,,,,,,
Fe Limited,,Catherine Grant,,,,,,,Antony William Paul Sage,,
Federation Group Ltd.,Tony Oxley,,,,,,,,,,
Feishang Anthracite Resources Limited,Weibing Han,Ming Wai Yue,,,,,,,Weibing Han,,
FerrAus Pty Ltd,,,,,,,,,,,
Ferrexpo Plc,Kostyantin Zhevago,Christopher Mawe,James North,,,,,,Stephen Lucas,,
Ferro Alloys Corporation Limited,R. K. Saraf,O.P. Banka,,,,,,,R. K. Saraf,,
Ferrowest Limited,"Brett Lee Manning, Wei Sun",Daniel Johannes Bredenkamp,,,,,,,Bryan Kevin Hughes,,Graeme Godsman Johnston
Ferrum Crescent Limited,Justin Alexander Tooth,,,,,Kevin Scott Huntly,,,Justin Alexander Tooth,,Juki Laurikko
Fertoz Limited,,Julien McInally,,,,Alexandre Augusto No Penha,,,Patrick L. Avery,,Jo T. Shearer
Fieldex Exploration Inc.,Martin Dallaire,Sylvain Champagne,,Martin Dallaire,,,,,Martin Dallaire,,
Filo Mining Corporation,Wojtek A. Wodzicki,Jeffrey Yip,,Wojtek A. Wodzicki,,James Beck,,,Lukas H. Lundin,Robert G. Carmichael,
Finders Resources Limited,Barry John Cahill,James Hamilton Wentworth,,,,,,,Gary Ernest Comb,,
Finlay Minerals Limited,Robert F. Brown,James Wilfred Frank Tutton,,Robert F. Brown,,,,,John J. Barakso,Warner Gruenwald,
Finore Mining Inc.,Ravinder S. Mlait,Michael S. M. Sadhra,,Ravinder S. Mlait,,,,,,,
Fiore Exploration Ltd.,Timothy A. Warman,Jessica Van Den Akker,,,,,,,Robert P. Pirooz,Vernon Arsenault,
Fire River Gold Corporation,Blane W. Wilson,Paul Dyer,,Blane W. Wilson,,,,,,,
Firebird Resources Inc.,John F. Cook,Randy Clifford,,John F. Cook,,,,,Thomas R. Tough,,
Firesteel Resources Inc.,Michael Ernle Hepworth,Grant T. Smith,,Michael Ernle Hepworth,,,,,Basil Roy Botha,Peter Finnäs,
Firestone Diamonds Plc,Stuart Michael Brown,Grant Ferriman,,,,,,,Raffaele Lucio G. Salvatore Genovese,,
Firestone Diamonds Plc,,,,,,,,,,,
Firestone Energy Limited,,,,,,,,,Nakedi Mathews Phosa,,
Firestone Ventures Inc.,F. Carson Noel,Donna R. McLean,,F. Carson Noel,,,,,Keith Michael Barron,,
Firestrike Resources Limited,,,,,,,,,,,
Fireweed Zinc Ltd.,Brandon Macdonald,Han-Ying Lin,,,,,,,John E. Robins,,
Firma Holdings Corp.,Francis Richard Biscan Jr.,Lynda R. Keeton-Cardno,David Barefoot,Francis Richard Biscan Jr.,,,,,,,Steve Eady
First American Silver Corp.,Brian Goss,Brian Goss,,Brian Goss,,,,,,,
First Bauxite Corporation,Alan Roughead,William A. White,Craig Searchfield,Alan Roughead,,,,,Lawrence E. Washow,,
First Cobalt Corp.,Trent C. A. Mell,Kevin Ma,,Trent C. A. Mell,,,,,,Frank Santaguida,
First Colombia Gold Corp.,Jason T. Castenir,Jason T. Castenir,,Clarence Carson Parks III,,,,,Jason T. Castenir,,
First Energy Metals Limited,Ronald M. Lang,Dennis Cojuco,,Ronald M. Lang,,,,,,,
First Graphite Limited,Craig Robert McGuckin,Peter Richard Youd,,,,,,,Warwick Robert Grigor,,
First Idaho Resources Inc.,Russell W. Marshall,Nizar Y. Bharmal,,Russell W. Marshall,,,,,,,
First Liberty Power Corporation,Donald Charles Nicholson Jr.,Donald Charles Nicholson Jr.,,Donald Charles Nicholson Jr.,,,,,Robert B. Reynolds Jr.,,
First Majestic Silver Corporation,Keith Neumeyer,Raymond L. Polman,Dustin VanDoorselaere,Keith Neumeyer,,,,,Douglas Penrose,,Ramon Mendoza Reyes
First Metals Inc.,,,,,,,,,,,
First Mexican Gold Corp.,James Voisin,Nicole Wood,,James Voisin,,,,,,,
First Mining Finance Corp.,Christopher Osterman,Andrew Marshall,,Patrick Donnelly,,,,,Keith Neumeyer,Raul Diaz-Unzueta,
First Mining Finance Corp.,,,,,,,,,,,
First Narrows Resources Corp.,,,,,,,,,,,
First Nickel Inc.,,,,,,,,,,,
First Potash Corporation,Andrew A. Brodkey,Frank J. Garcia,,Andrew A. Brodkey,,,,,Andrew A. Brodkey,,
