Company,Chief Executive Officer,Chief Financial Officer,Chief Operating Officer,President,Director of Acquisitions,Head of Corporate Development,Director of Asset Management,Head of Investor Relations,Chairman of the Board,VP/Head of Exploration,Chief Geologist
Aerosonde Holdings Ltd.,G. J. Holland,,,,,,,,N. D. H. Hammond,,
Afarak Group Oyj,Guy Konsbruck,Predrag Kovacevic,Danko Koncar,,,,,,Jelena Manojlovic,,
Afferro Mining Inc.,Luis Guilherme Cabrita da Silva,Bevan John Metcalf,Peter Wilson Taylor,Luis Guilherme Cabrita da Silva,,,,,David George Netherway,,
Affinity Gold Corporation,Corey J. Sandberg,,,Corey J. Sandberg,,,,,,,
Affinor Growers Inc.,Jarrett Malnarick,Mark T. Brown,Jarrett Malnarick,Jarrett Malnarick,,Nicholas G. Brusatore,,,,,
Afgem Ltd.,,,,,,,,,,,
Aflease Gold Ltd (Gold One),,,,,,,,,,,
AfNat Resources Limited,Harald van Hoeken,,,,,,,,,,
Africa Hydrocarbons Inc.,,Kari Wilkie,,,,,,,,,
African Aura Resources Ltd,,,,,,,,,,,
African Copper Plc,"Jordan Soko, Thomas D. Kamwendo",Bradley Robert Kipp,,,,,,Marguerite Manshreck,Roy Derek Corrans,,
African Diamonds Limited,,,,,,,,,,,
African Eagle Resources Plc.,Nicholas Antony Clarke,,,,,Mark Edwin Parker,,,Orikolade Adebayo Karim,,
African Energy Resources Limited,Charles Tabeart,Daniel Davis,,,,,,,Alasdair Campbell Cooke,Charles Tabeart,Charles Tabeart
"African Gold Group, Inc.",Stephan Theron,Ryan Ptolemy,Brett Allan Richards,Brett Allan Richards,,,,,Stan Bharti,,
African Iron Ore Limited,,,,,,,,,,,
Afri-Can Marine Minerals Corporation,,,,,,,,,,,
African Metals Corporation,Simeon Tshisangama,Daniel J. Gregory,,,,,,,,Ronald Lawrence,
African Minerals Limited,,Matthew Hird,,,,,,,Vasile Timis,,
African Platinum plc,,,,,,,,,,,
African Potash Limited,Christopher John Cleverly,,,,,,,,Christopher John Cleverly,,
African Precious Minerals,,,,,,,,,,,
African Queen Mines Limited,Irwin A. Olian Jr.,Jennifer Todhunter,,Irwin A. Olian Jr.,,,,,Irwin A. Olian Jr.,Andrew E. Moore,
African Rainbow Minerals Limited,Mike P. Schmidt,Michael Arnold,,,,Jongisa Magagula,,,Patrice T. Motsepe,Jan C. Steenkamp,
Africo Resources Limited,Christos Theodoropoulos,Larry M. Okada,,Christos Theodoropoulos,,,,,Christos Theodoropoulos,,
AfriOre International (Barbados) Limited,,,,,,,,,,,
Aftermath Silver Ltd.,Douglas W. Ramshaw,Douglas W. Ramshaw,,Douglas W. Ramshaw,,,,,Michael J. Williams,Jodie Gibson,
Agau Resources Inc.,,,,,,,,,,,
Agincourt Resources Ltd,,,,,,,,,,,
Agnico Eagle Mines Limited,Sean Boyd,David Smith,Yvon Sylvestre,Ammar Al-Joundi,,Donald G. Allan,,,James D. Nasso,Alain Blackburn,
Agricola Resources Plc,Clive Sinclair?Poulton,,,,,,,,Clive Sinclair?Poulton,,
Agrimin Limited,Mark Savich,Alec Christopher Pismiris,Alec Christopher Pismiris,,,,,,Stuart Bradley Sampson,Mark Savich,
"AgriMinco, Corporation.",Bruce Cumming,Jacqueline Popplestone,,,,,,,George Greville Roach,,
Agritrade Resources Limited,Xinwei Ng,Ashok Kumar Sahoo,Benjamin Chay,,,,,,Say Pek Ng,,
Agrium Inc.,Charles V. Magro,Steven James Douglas,Charles V. Magro,Charles V. Magro,,,,,Derek G. Pannell,,
Aguia Resources Limited,C. Justin Reid,Zargos Hood,,,,,,,Paul Pint,Fernando Tallarico,Alfredo Rossetto Nunes
Aguila American Gold Limited,Nick DeMare,Nick DeMare,,,,,,,,,
Aida Minerals Corp.,Robin S. Tolbert,Donald Albert Gordon,,,,,,,,,
AK Steel Holding Corporation,Roger K. Newport,Jaime Vasquez,Kirk W. Reich,Kirk W. Reich,,,,,James A. Thomson,,
Akkerman Exploration B V,,,,,,,,,,,
Akrokeri-Ashanti Gold Mines Inc,,,,,,,,,,,
Al Masane Al Kobra Mining Co.,,,,,,,,,Talal A. Al-Shair,,
Alabama Graphite Corp.,Donald K. D. Baxter,Douglas C. Bolton,,Donald K. D. Baxter,,,,,Jean R. Depatie,,
Alacer Gold Corp.,Rodney P. Antal,Mark E. Murchison,Stewart J. Beckman,Rodney P. Antal,,,,,Edward C. Dowling Jr.,,
Alamos Gold Inc.,John A. McCluskey,James R. Porter,Peter K. MacPhail,John A. McCluskey,,,,,Paul J. Murphy,Aoife McGrath,
Alara Resources Limited,Justin J. Richard,,,,,,,,James D. Phipps,,
Alaska Gold Corp.,Gary Powers,William David Thomas,,Gary Powers,,,,,,,
Alba Mineral Resources Plc,,George Frangeskides,,,,,,,George Frangeskides,,
Alba Minerals Ltd.,Arthur Brown,,,Arthur Brown,,,,,,,
Albemarle Corporation,Luther C. Kissam IV,Scott A. Tozier,,Luther C. Kissam IV,,,,,Luther C. Kissam IV,,
Albidon Ltd.,,,,,,,,,San Lin Zhang,,
Alchemy Resources Limited,Leigh Ryan,Bernard Crawford,,,,,,,Lindsay George Dudfield,,
Alcoa Corporation,Roy C. Harvey,William F. Oplinger,Tómas Már Sigur?sson,Roy C. Harvey,,Ben Kahrs,,,Michael G. Morris,,
Alcoa Inc.,Klaus C. Kleinfeld,Ken Giacobbe,,,,,,,Klaus C. Kleinfeld,,
Alcyone Resources Limited,Michael Reed,Trevor Harris,,,,,,,Ashley Paul D'Sylva,Michael Reed,Peter Ball
Alder Resources Limited,Don Dudek,Ryan Ptolemy,,Don Dudek,,,,,Don Dudek,,
Alderan Resources Limited,Christopher Robert Wanless,,Donald Charles Smith,,,,,,Nicolaus Heinen,,Peter Geerdts
Alderon Iron Ore Corp.,Mark J. Morabito,Kate-Lynn Genzel,,,,,,,Mark J. Morabito,,
Aldershot Resources Ltd.,Jeremy Caddy,Frank DeMarte,,Jeremy Caddy,,,,,,,
Aldever Resources Inc.,Clive H. Massey,Richard Ko,,Clive H. Massey,,,,,,Peter Born,Paul D. Gray
Aldridge Minerals Incorporated,Han Ilhan,Jim O'Neill,,Han Ilhan,,,,,Barry Hildred,Ahmet Sentürk,
Aldridge Minerals Incorporated,,,,,,,,,,,
Aleator Energy Ltd.,,,,,,,,,,,
Alecto Minerals Plc,Mark Jones,,Dominic Doherty,,,,,,Toby David Howell,,
Alexander Mining Plc,Martin L. Rosser,John A. Getty,,,,,,,Matthew Leslie Sutcliffe,,
Alexandra Capital Corp.,Blake G. Olafson,,,Blake G. Olafson,,,,,,,
Alexandria Minerals Corporation,Eric O. Owens,Mario A. Miranda,,Eric O. Owens,,Mary Vorvis,,,Peter Gundy,Philippe Berthelot,
Alexco Resource Corporation,Clynton R. Nauman,Michael Clark,,Bradley A. Thrall,,,,,Clynton R. Nauman,Alan McOnie,Melanie Roberts
Alexkor Ltd.,Vimal K. Bansi,Ntombizodwa Petunia Mbele,Humphrey Mokwena,,,,,,Hantsi B. Matseke,,
Algold Resources Limited,François Auclair,Dejan Ristic,,François Auclair,,Alex Ball,,,Benoit La Salle,,
Alhambra Resources Limited,John J. Komarnicki,Donald D. McKechnie,,,,,,,John J. Komarnicki,,
Alianza Minerals Ltd.,Jason S. Weber,Winnie Wong,,Jason S. Weber,,,,,Mark T. Brown,,
Alicanto Minerals Limited,Travis Schwertfeger,Jamie Byrde,,,,,,,Didier Marcel Murcia,,Marcus Harden
Alice Queen Limited,Andrew Thomas Buxton,Anne Adaley,,,,,,,Phillip G. Harman,,
Alio Gold Inc.,Gregory McCunn,Colette Rustad,Jose Hector Figueroa,,,,,,Bryan A. Coates,Miguel Angel Soto,
Alix Resources Corporation,,John Masters,,Michael B. England,,,,,,,
Alkane Inc.,Mathew Mark Zuckerman,,,Mathew Mark Zuckerman,,,,,,,
Alkane Resources Limited,David Ian Chalmers,Michael B. Ball,Nicholas Earner,,,,,,John Stuart Ferguson Dunlop,,Terry Ransted
All American Gold Corp.,,,,,,,,,,,
All Star Minerals PLC,,,,,,,,,Tomas Nugent,,
Allana Potash Corporation,Farhad Abasov,Deborah Battiston,,Farhad Abasov,,,,,Mark D. Stauffer,Peter J. MacLean,
Allegiance Coal Limited,Mark Gray,Jonathan Richard Reynolds,,,,,,,Malcolm Anthony Carson,,
Allegiance Mining NL,,,,,,,,,,,
Alliance Mining Corporation,Christopher Ross Anderson,Zenaida Manalo,,,,,,,,,
Alliance Resources Limited,Stephen Fredrick Johnston,Robert Paul Tolliday,,,,,,,Ian Jeffrey Gandel,Anthony Gray,
Allican Resources Inc.,François Biron,,,François Biron,,,,,,,
Allied Gold Mining Limited,,,Johan Oelofse,,,,,Joseph Dowling,,,
Alligator Energy Limited,John Victor Main,,,,,,,,John Victor Main,Andrew Moorhouse,John Victor Main
Alloy Resources Limited,Andrew John Viner,,,,,,,,Andrew John Viner,Andrew John Viner,Andrew John Viner
Alloycorp Mining Inc.,Mario Caron,Graham du Preez,,Mario Caron,,Shawn Howarth,,Shawn Howarth,Mario Caron,,
Allway Minerals and Science Technology Co Lt,,,,,,,,,,,
Almaden Minerals Limited,Morgan J. Poliquin,Korm Trieu,,Morgan J. Poliquin,,Douglas McDonald,,,James Duane Poliquin,,
Almadex Minerals Limited,Morgan J. Poliquin,Korm Trieu,,Morgan J. Poliquin,,Douglas McDonald,,,James Duane Poliquin,,
Almonty Industries Inc.,Lewis Black,Mark N. Gelmon,,Lewis Black,,,,,Lewis Black,,
Alpha Minerals Inc.,,Kurt Bordian,,,,,,,,,
Alpha Uranium Limited,,,,,,,,,,,
Alphamin Resources Corporation,Boris Richard Kamstra,Eoin O'Driscoll,Trevor John Faber,,,,,,Charles Denby Stockton Needham,,
Alphamin Resources Corporation - Historical,,,,,,,,,,,
ALQ Gold Corporation,Carl J. Pines,Joanne Natalie Ward,,,,,,,,,
Alset Minerals Corp.,Allan Barry Laboucan,Albert Wu,,Allan Barry Laboucan,,,,,Gennen McDowall,Emily Hanson,
Alt Resources Limited,James Anderson,Tim Symons,,,,,,,William Hugh Ellis,Helen Degeling,Helen Degeling
Alta Gold Co,Robert N. Pratt,John A. Bielun,Joseph A. Pescio,Robert N. Pratt,,,,,Robert N. Pratt,,
Alta Vista Ventures Ltd.,Donald Shaxon,Jennifer Schindler,,Jason Springett,,,,,,,
Altai Resources Inc.,Niyazi Kacira,Maria Au,,Niyazi Kacira,,,,,Niyazi Kacira,,Niyazi Kacira
"Altair Nanotechnologies, Inc.",Guo-Hua Sun,Karen Werner,,,,Athena Reed,,,Yincang Wei,,
Altair Resources Inc.,Harold Shipes,Nick DeMare,Harold Shipes,Harold Shipes,,,,,,,Stewart A. Jackson
Altamira Gold Corp.,Alan H.C. Carter,Michael O’Brien,,Alan H.C. Carter,,,,,Kyler Hardy,,
Altan Nevada Minerals Limited,Evan Courtney Cecil Jones,Anthony Jackson,,Evan Courtney Cecil Jones,,,,,John Load Cecil Jones,,
Altan Rio Minerals Limited,Evan Courtney Cecil Jones,Anthony Jackson,,Evan Courtney Cecil Jones,,,,,John Load Cecil Jones,,
Altech Chemicals Limited,Ignatius Kim-Seng Tan,Shane Raymond Volk,Jingyuan Liu,,,,,,Luke Frederick Atkins,,
Altiplano Minerals Ltd.,John Williamson,Justin Bourassa,,John Williamson,,,,,John Williamson,Osbaldo Zamora Vega,
Altitude Resources Inc.,Eugene Wusaty,Douglas Porter,,Eugene Wusaty,,,,,Eugene Wusaty,,
Altius Minerals Corporation,Brian F. Dalton,Ben Lewis,,Brian F. Dalton,,,,,John A. Baker,Lawrence Winter,Roderick Smith
Alto Group Holdings Inc.,Douglas McFarland,Chene C. Gardner,,,,,,,Chene C. Gardner,,
Alto Metals Limited,Dermot Michael Ryan,Robert Samuel Middlemas,,,,,,,Jingbin Wang,Changshun Jia,Changshun Jia
Alto Ventures Ltd.,Richard J. Mazur,Jeannine P. M. Webb,,Marian Koziol,,Gary F. Zak,,,,,
Altona Energy Plc,Qinfu Zhang,,,,,,,,Qinfu Zhang,,
Altona Mining Limited,Alistair Cowden,Eric Hughes,,,,,,,Kevin William Maloney,Roland Bartsch,
Altoro Gold Corp.,,,,,,,,,,,
"Altos Hornos de México, S. A. B. de C. V",Luis Zamudio Miechielsen,Jorge A. Ancira Elizondo,Manuel Ancira Elizondo,,,,,,Alonso Ancira Elizondo,,
Altura Mining Limited,James Stuart Brown,Paul K. Mantell,,,,,,,,,
Alturas Minerals Corp.,Miguel Cardozo,Mario A. Miranda,,Miguel Cardozo,,,,,Walter C. Henry,,
Altus Resource Capital Ltd.,,,,,,,,,,,
Altyn Plc,Aidar Assaubayev,Rajinder Basra,Maxim Strelnikov,,,,,,Kanat Shaikhanovich Assaubayev,,
Alumina Limited,Michael Peter Ferraro,Chris Thiris,,,,,,,G. John Pizzey,,
Aluminum Corporation of China Limited,,Zhankui Zhang,,Hong Ao,,,,,Dehui Yu,,
ALX Uranium Corp.,Robert Eriks,Patrick Groening,,Robert Eriks,,Roger Leschuk,,,Warren W. Stanyer,Robert Eriks,
AM Gold Incorporated,Giovanni Fiorino,Rick Low,,,,,,,,,
Amador Gold Corp.,Thomas John Kennedy,Dale Dobson,,Thomas John Kennedy,,,,,,,
Amani Gold Limited,,,,,,,,,Klaus Peter Eckhof,Mark Gasson,
Amanta Resources Limited,Gerald D. Wright,,Pieter Jan Bakker,Gerald D. Wright,,,,,,,
Amara Mining Plc,John Francis Gerald McGloin,"Martin Page, Peter Andrew Stuart Gardner",,,,,,,,Peter Brown,
Amarc Resources Limited,Ronald W. Thiessen,Luqman Khan,,Diane Nicolson,,,,,Robert A. Dickinson,,
Amari Manganese (Pty) Ltd S.A.,,,,,,,,,,,
Amarillo Gold Corporation,Buddy James Doyle,Scott Eldridge,,Buddy James Doyle,,,,,Rowland Uloth,Frank Baker,
Amarium Minerals Inc.,,,,,,,,,,,
Amax Gold Inc.,,,,,,,,,,,
"Amazing Energy Oil and Gas, Co.",Arnold Miesner,Stephen Salgado,Reese B. Pinney,Arnold Miesner,,,,,Arnold Miesner,,
Amazõnia Mineração Ltda,Douglas Arantes,,,,,,,,Douglas Arantes,,
Amblin Technologies Inc.,,,,,,,,,,,
Ambrian Plc,Jean-Pierre Conrad,John Michael Coles,Roger Francis Clegg,,,,,,Martin Gary Abbott,,
Amcom Telecommunications Ltd.,,,Michael Knee,,,,,,Anthony James Grist,,
American Bonanza Gold Corp.,Brian P. Kirwin,Joe Chan,Todd Fayram,Brian P. Kirwin,,,,,,Douglas R. Wood,
American Bullion Minerals Ltd.,,,,,,,,,,,
American Consolidated Minerals Corporation,Gary Vittorio Arca,Gary Vittorio Arca,,Bryson Goodwin,,,,,,,
American Creek Resources Ltd.,Darren R. Blaney,Robert N. Edwards,Darren R. Blaney,Darren R. Blaney,,,,,,,
American CuMo Mining Corporation,Shaun M. Dykes,Trevor Burns,,Shaun M. Dykes,,,,,John R. Moeller,,
"American Eagle Resources, Inc.",,,,,,,,,,,
American Gold Capital Corporation,Christian Kenneth Falck,,,,,,,,,,
"American International Ventures, Inc.",Jose Granados Garcia,Jack Wagenti,Kevin Gillen,,,,,,Jack Wagenti,,
American Lithium Corp.,Michael Kobler,Douglas E. Ford,Michael Kobler,Michael Kobler,,,,,,,
American Magna Corp.,Carl Nesbitt,Carl Nesbitt,Carl Nesbitt,Carl Nesbitt,,,,,Carl Nesbitt,,
American Manganese Inc.,Larry W. Reaugh,Shaheem Ali,Michael E. MacLeod,Larry W. Reaugh,,,,,,,
American Pacific Borate and Lithium Limited,Michael X. Schlumpberger,,,,,,,,Harold Shipes,,
American Paramount Gold Corp.,,,,,,,,,,,
American Potash Corp.,Rudy de Jonge,Anthony Jackson,,,,,,,,,
American Resource Technologies Inc.,,,,,,,,,,,
American United Gold Corp.,David R. Uppal,,,David R. Uppal,,,,,,,
American Vanadium Corp.,William Joseph Radvak,John G. Downes,,William Joseph Radvak,,,,,Brett A. Whalen,,
Americas Silver Corporation,Darren John Blasutti,Warren Varga,Daren Dell,Darren John Blasutti,,,,,Alexander John Davidson,James R. Atkinson,
Amerigo Resources Ltd.,Robert D. Henderson,Aurora G. Davidson,,Robert D. Henderson,,,,,Klaus M. Zeitler,,
Amex Exploration Inc.,Victor Cantore,Martin Nicoletti,Pierre Carrier,Victor Cantore,,,,,Jacques Trottier,Pierre Carrier,Pierre Carrier
Amex Resources Limited,Matthew J. Collard,James Gary Dunlop,Chris Ure,,,,,,Richard Alston,,
AMG Advanced Metallurgical Group N.V.,Heinz C. Schimmelbusch,Jackson M. Dunckel,Eric E. Jackson,,,,,,Norbert Quinkert,,
Ampella Mining Limited,,,Jean Luc Roy,,,,,,Josef El-Raghy,Anthony Rudd,
Amseco Exploration Ltd.,Jean Desmarais,Liette Nadon,,Jean Desmarais,,,,,Roger Bourgault,,
AMT International Mining Corp.,,,,,,,,,,,
Amur Minerals Corporation,Robin Jay Young,Paul McKay,,,,,,,Robert William Schafer,,
Amzim Holdings (Anglo American Plc),,,,,,,,,,,
Anaconda Mining Inc.,Dustin Angelo,Robert Dufour,Gordana Slepcev,Dustin Angelo,,,,,Jonathan W. Fitzgerald,Paul McNeill,
Anatolia Energy Limited,Paul D. Cronin,Scott Mison,Tom Young,,,,,,Hikmet Akin,Robert Annett,Robert Annett
Anchor Resources Limited,,,Ai Li,,,,,,Jianguang Wang,Graeme Rabone,
Anconia Resources Corporation,Jason Brewster,Harvey McKenzie,,Jason Brewster,,,,,Denis A. Clement,,
Andean American Gold Corp.,,,,,,,,,,,
Andean Resources Limited,,,,,,,,,,,
AndeanGold Ltd.,Alexander Peña Böttcher,Alberto E. Paz,,Alexander Peña Böttcher,,,,,,,
Andes Gold Corporation,Robert Talbot,,,Robert Talbot,,,,,,,
